Unnamed: 0,Sector,Industry,Stock Count,Percentage of Sector,Market Weight,Log Weight,Sqrt Weight,Size Category,Size Score,Composite Weight
56,Real Estate,REIT - Healthcare Facilities,16,6.153846154,0.003322949,0.006750688,0.00576974,Small,0.4,0.005964912
109,Industrials,Integrated Freight & Logistics,16,3.112840467,0.003322949,0.006750688,0.00576974,Small,0.4,0.005964912
22,Financial Services,Insurance Brokers,16,1.581027668,0.003322949,0.006750688,0.00576974,Small,0.4,0.005964912
138,Energy,Oil & Gas Refining & Marketing,16,8.040201005,0.003322949,0.006750688,0.00576974,Small,0.4,0.005964912
86,Consumer Defensive,Beverages - Non-Alcoholic,16,7.960199005,0.003322949,0.006750688,0.00576974,Small,0.4,0.005964912
42,Consumer Cyclical,Travel Services,16,3.470715835,0.003322949,0.006750688,0.00576974,Small,0.4,0.005964912
129,Utilities,Utilities - Regulated Gas,15,14.42307692,0.003115265,0.006606238,0.005586527,Small,0.4,0.0059588
96,Industrials,Airlines,15,2.918287938,0.003115265,0.006606238,0.005586527,Small,0.4,0.0059588
98,Industrials,Metal Fabrication,15,2.918287938,0.003115265,0.006606238,0.005586527,Small,0.4,0.0059588
110,Industrials,Staffing & Employment Services,15,2.918287938,0.003115265,0.006606238,0.005586527,Small,0.4,0.0059588
19,Financial Services,Insurance - Life,15,1.482213439,0.003115265,0.006606238,0.005586527,Small,0.4,0.0059588
135,Energy,Oil & Gas Integrated,15,7.537688442,0.003115265,0.006606238,0.005586527,Small,0.4,0.0059588
32,Consumer Cyclical,Gambling,15,3.253796095,0.003115265,0.006606238,0.005586527,Small,0.4,0.0059588
145,Communication Services,Electronic Gaming & Multimedia,15,7.281553398,0.003115265,0.006606238,0.005586527,Small,0.4,0.0059588
9,Basic Materials,Building Materials,15,7.772020725,0.003115265,0.006606238,0.005586527,Small,0.4,0.0059588
128,Utilities,Utilities - Regulated Water,14,13.46153846,0.00290758,0.006452462,0.005397098,Small,0.4,0.005952552
103,Industrials,Pollution & Treatment Controls,14,2.723735409,0.00290758,0.006452462,0.005397098,Small,0.4,0.005952552
106,Industrials,Waste Management,14,2.723735409,0.00290758,0.006452462,0.005397098,Small,0.4,0.005952552
40,Consumer Cyclical,Recreational Vehicles,14,3.036876356,0.00290758,0.006452462,0.005397098,Small,0.4,0.005952552
87,Consumer Defensive,Food Distribution,13,6.467661692,0.002699896,0.006288073,0.005200774,Small,0.4,0.00594615
49,Consumer Cyclical,Footwear & Accessories,13,2.819956616,0.002699896,0.006288073,0.005200774,Small,0.4,0.00594615
28,Financial Services,Financial Data & Stock Exchanges,12,1.185770751,0.002492212,0.006111496,0.004996742,Small,0.4,0.005939571
8,Basic Materials,Agricultural Inputs,12,6.21761658,0.002492212,0.006111496,0.004996742,Small,0.4,0.005939571
107,Industrials,Railroads,11,2.140077821,0.002284528,0.005920779,0.004784016,Small,0.4,0.005932787
72,Healthcare,Healthcare Plans,11,1.119023398,0.002284528,0.005920779,0.004784016,Small,0.4,0.005932787
134,Energy,Oil & Gas Drilling,11,5.527638191,0.002284528,0.005920779,0.004784016,Small,0.4,0.005932787
126,Utilities,Utilities - Diversified,10,9.615384615,0.002076843,0.005713457,0.00456138,Small,0.4,0.005925763
111,Industrials,Tools & Accessories,10,1.945525292,0.002076843,0.005713457,0.00456138,Small,0.4,0.005925763
104,Industrials,Consulting Services,10,1.945525292,0.002076843,0.005713457,0.00456138,Small,0.4,0.005925763
71,Healthcare,Medical Distribution,10,1.017293998,0.002076843,0.005713457,0.00456138,Small,0.4,0.005925763
17,Financial Services,Insurance - Diversified,10,0.988142292,0.002076843,0.005713457,0.00456138,Small,0.4,0.005925763
77,Consumer Defensive,Grocery Stores,10,4.975124378,0.002076843,0.005713457,0.00456138,Small,0.4,0.005925763
43,Consumer Cyclical,Lodging,10,2.169197397,0.002076843,0.005713457,0.00456138,Small,0.4,0.005925763
124,Technology,Consumer Electronics,9,1.424050633,0.001869159,0.005486362,0.004327305,Very Small,0.2,0.003017097
101,Industrials,Airports & Air Services,9,1.750972763,0.001869159,0.005486362,0.004327305,Very Small,0.2,0.003017097
45,Consumer Cyclical,Luxury Goods,9,1.952277657,0.001869159,0.005486362,0.004327305,Very Small,0.2,0.003017097
46,Consumer Cyclical,Personal Services,9,1.952277657,0.001869159,0.005486362,0.004327305,Very Small,0.2,0.003017097
118,Technology,Electronics & Computer Distribution,8,1.265822785,0.001661475,0.00523532,0.004079822,Very Small,0.2,0.003009438
26,Financial Services,Insurance - Reinsurance,8,0.790513834,0.001661475,0.00523532,0.004079822,Very Small,0.2,0.003009438
25,Financial Services,Mortgage Finance,8,0.790513834,0.001661475,0.00523532,0.004079822,Very Small,0.2,0.003009438
81,Consumer Defensive,Discount Stores,8,3.980099502,0.001661475,0.00523532,0.004079822,Very Small,0.2,0.003009438
82,Consumer Defensive,Tobacco,8,3.980099502,0.001661475,0.00523532,0.004079822,Very Small,0.2,0.003009438
76,Consumer Defensive,Beverages - Brewers,8,3.980099502,0.001661475,0.00523532,0.004079822,Very Small,0.2,0.003009438
52,Consumer Cyclical,Home Improvement Retail,8,1.735357918,0.001661475,0.00523532,0.004079822,Very Small,0.2,0.003009438
7,Basic Materials,Other Precious Metals & Mining,8,4.14507772,0.001661475,0.00523532,0.004079822,Very Small,0.2,0.003009438
144,Communication Services,Publishing,7,3.398058252,0.00145379,0.004954679,0.003816324,Very Small,0.2,0.00300135
5,Basic Materials,Coking Coal,7,3.626943005,0.00145379,0.004954679,0.003816324,Very Small,0.2,0.00300135
62,Real Estate,Real Estate - Development,6,2.307692308,0.001246106,0.004636514,0.00353323,Very Small,0.2,0.002992717
29,Financial Services,Financial Conglomerates,6,0.592885375,0.001246106,0.004636514,0.00353323,Very Small,0.2,0.002992717
136,Energy,Thermal Coal,6,3.015075377,0.001246106,0.004636514,0.00353323,Very Small,0.2,0.002992717
84,Consumer Defensive,Beverages - Wineries & Distilleries,6,2.985074627,0.001246106,0.004636514,0.00353323,Very Small,0.2,0.002992717
75,Healthcare,Pharmaceutical Retailers,5,0.508646999,0.001038422,0.004269219,0.003225383,Very Small,0.2,0.002983372
